conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username
1.903023992484901e+18,Fri Mar 21 10:00:50 +0000 2025,0,BPOM Gerebek Pabrik Skincare Ilegal di Ciputat dan Temukan Ribuan Produk Berbahaya https://t.co/iiik7v5EcB,1.903023992484901e+18,,,in,,0,0,0,https://x.com/banten_berita/status/1903023992484901247,1941200143.0,banten_berita
1.9027343735788426e+18,Thu Mar 20 14:50:00 +0000 2025,3,"BPOM Gerebek Industri Skincare Ilegal di Tangerang Selatan, Raup Miliaran Rupiah Per Bulan
https://t.co/gotgqSubdH",1.9027343735788426e+18,,,in,,0,0,0,https://x.com/okezonenews/status/1902734373578842535,47274731.0,okezonenews
1.9027105273418386e+18,Thu Mar 20 13:15:15 +0000 2025,0,"Badan Pengawas Obat dan Makanan (BPOM) RI menemukan adanya produksi skincare ilegal yang dilakukan secara sembunyi-sembunyi. Melansir Kompas, 'pabrik' produksi tersebut berada di sebuah rumah mewah Jalan Gunung Indah 6, Nomor 7, RT 2/RW 3, Kelurahan Cirendeu, Kecamatan Ciputat https://t.co/bKtTgQAsO5",1.9027105273418386e+18,https://pbs.twimg.com/media/GmfJI-ebEAAC3up.jpg,,in,,0,0,0,https://x.com/AboutTNG/status/1902710527341838466,2818687488.0,AboutTNG
1.9026328396000753e+18,Thu Mar 20 08:06:32 +0000 2025,5,"Badan Pengawas Obat dan Makanan (BPOM) Republik Indonesia gerebek pabrik skincare ilegal di Kota Tangerang Selatan (Tangsel). Penggerebekan ini berdasar adanya temuan usaha pembuatan kosmetik tidak memiliki nomor izin berusaha.
“Yang kedua harusnya setiap produksi yang bersifat https://t.co/Qkhmf3Kfm5",1.9026328396000753e+18,https://pbs.twimg.com/media/GmeCe0UaoAAU2Rk.jpg,,in,,1,0,3,https://x.com/amareguzel/status/1902632839600075139,1.744981090983682e+18,amareguzel
1.9026009986628938e+18,Thu Mar 20 06:00:01 +0000 2025,3,"BPOM ungkap pemilik pabrik skincare ilegal di Ciputat Timur, Tangerang Selatan. Mereka adalah suami-istri dengan pekerjaan apoteker. Keduanya terancam hukuman 12 tahun penjara atau denda Rp 5 miliar. https://t.co/mc6SvnUp2t",1.9026009986628938e+18,https://pbs.twimg.com/ext_tw_video_thumb/1902465237720428547/pu/img/J3x290P8BywAC7Xp.jpg,,in,,0,0,3,https://x.com/detikHealth/status/1902600998662893951,104446991.0,detikHealth
1.9025707962805947e+18,Thu Mar 20 04:00:00 +0000 2025,2,"Saat melakukan penggerebekan pabrik skincare ilegal di Tangerang Selatan, BPOM menemukan bahan-bahan berbahaya dalam skincare ilegal yang diproduksi. Berikut penjelasannya. https://t.co/Vz0HhAJlgm",1.9025707962805947e+18,https://pbs.twimg.com/ext_tw_video_thumb/1902464637423235072/pu/img/WpPxJcmxtfHyKw-v.jpg,,in,,0,0,3,https://x.com/detikHealth/status/1902570796280594698,104446991.0,detikHealth
1.9025406001649341e+18,Thu Mar 20 02:00:01 +0000 2025,7,"Rabu (19/3), BPOM dan Balai POM Tangerang mengadakan penggerebekan pabrik skincare ilegal dan berbahaya di wilayah Ciputat Timur, Tangerang Selatan. Pabrik skincare berbahaya ini memproduksi 5000 produk dan mendapatkan omzet Rp 1 M per bulan. https://t.co/iR3oF5T7ob",1.9025406001649341e+18,https://pbs.twimg.com/ext_tw_video_thumb/1902463533851529216/pu/img/1Ruqcx5Wm6JOHQfy.jpg,,in,,0,0,3,https://x.com/detikHealth/status/1902540600164934059,104446991.0,detikHealth
1.9025001064166157e+18,Wed Mar 19 23:19:06 +0000 2025,5,"Kepala BPOM RI, Taruna Ikrar, mengatakan, pabrik skincare ilegal yang beroperasi di wilayah Ciputat Timur, Tangerang Selatan (Tangsel), telah beroperasi selama dua tahun. ~LL #Pabrik #Skincare #Tangsel
https://t.co/rvIA9XLNLs",1.9025001064166157e+18,,,in,,1,1,1,https://x.com/kompascom/status/1902500106416615741,23343960.0,kompascom
1.9024245645521024e+18,Wed Mar 19 18:18:56 +0000 2025,0,"Pabrik skincare ilegal yang beroperasi di sebuah rumah mewah di Ciputat Timur, Tangerang Selatan (Tangsel) digerebek Badan Pengawasan Obat dan Makanan Republik Indonesia (BPOM RI), Rabu (19/3/2025). https://t.co/UJdHLPqVLk https://t.co/IjeJ1BDG2P",1.9024245645521024e+18,https://pbs.twimg.com/media/GmbFD00a8AIvMeA.jpg,,in,,0,0,0,https://x.com/metromedianews/status/1902424564552102372,8.804618265923953e+17,metromedianews
1.9023593777572416e+18,Wed Mar 19 13:59:54 +0000 2025,0,Video BPOM Gerebek Pabrik Skincare Ilegal di Tangsel https://t.co/amFbnUkq8y,1.9023593777572416e+18,,,in,,0,0,0,https://x.com/detikHealth/status/1902359377757241551,104446991.0,detikHealth
